,B,C,A
180.0,0.1327340994484432,0.09991404121362568,1.0977879164124538
180.5,0.13987297781841926,0.09992802723288197,1.1691956925871034
181.0,0.14834444718197418,0.09996495116063091,1.243700707465156
181.5,0.1583347443837403,0.10002984474098038,1.3208195184639482
182.0,0.17004473161689976,0.10012951014481315,1.3999830617374012
182.5,0.183688335423088,0.10027281672512729,1.4805404913161557
183.0,0.19949034810810332,0.1004710643638689,1.5617655230954628
183.5,0.2176835293294255,0.10073841711127694,1.642865293376437
184.0,0.23850496117684677,0.10109241009090218,1.7229916527248417
184.5,0.2621916305310532,0.10155453143539601,1.8012547229376008
185.0,0.28897523778718337,0.10215087924495148,1.8767384519041952
185.5,0.3190762608424501,0.10291289114556196,1.9485178124268332
186.0,0.3526973369393462,0.10387814090657187,2.015677211011262
186.5,0.39001606158102714,0.10509119271720126,2.0773296054906703
187.0,0.43117734202739444,0.10660449911140862,2.1326357799211113
187.5,0.47628548127623893,0.1084793232008092,2.1808231946647734
188.0,0.5253962051170082,0.11078665990614514,2.22120382127661
188.5,0.5785088778120185,0.11360812440560454,2.2531903870237717
189.0,0.635559179110188,0.1170367692433825,2.276310492749778
189.5,0.6964125345412654,0.12117778473267131,2.290218129311538
190.0,0.7608586003174559,0.1261490307814084,2.2947021997650885
190.5,0.8286071019927203,0.13208134247032288,2.28969175357768
191.0,0.8992853110029805,0.13911854708255791,2.2752577512058023
191.5,0.9724374145576776,0.14741712732743154,2.251611297507027
192.0,1.0475259919238213,0.1571454647459408,2.2190984053155853
192.5,1.1239357544891222,0.16848259925722572,2.1781914706249466
193.0,1.2009796394063168,0.18161644599250443,2.1294777528522
193.5,1.2779072691457352,0.19674141938238907,2.0736452527136926
194.0,1.3539157046542991,0.2140554272187065,2.0114664621236082
194.5,1.4281623313769716,0.23375621425304347,1.943780521957317
195.0,1.4997796289459226,0.2560370557786074,1.8714743622945191
195.5,1.5678914909731883,0.28108182630025363,1.7954634148359168
196.0,1.631630685259217,0.3090594963077178,1.716672478722017
196.5,1.6901569808629326,0.34011814054053263,1.636017290264511
197.0,1.7426754204902641,0.3743785729149295,1.55438729644639
197.5,1.7884541875554367,0.41192775516993085,1.4726300646316333
198.0,1.8268415092476087,0.45281215676666997,1.3915376805716286
198.5,1.8572810512171998,0.4970312709706176,1.3118353977366048
199.0,1.8793252962240627,0.5445315146081668,1.2341727076323616
199.5,1.8926464572800963,0.5952007549731265,1.159116907402212
200.0,1.8970445533826268,0.6488637151328461,1.087149151677086
200.5,1.8924523697642164,0.7052785070366803,1.018662893848694
201.0,1.8789371307038514,0.764134529280768,0.9539645505897751
201.5,1.856698826715277,0.8250519424853104,0.8932761646835528
202.0,1.8260652542967657,0.8875828998668961,0.8367397964179542
202.5,1.7874839401974438,0.9512146641974626,0.7844233435296185
203.0,1.741511228274597,1.0153746860118336,0.7363274737876903
203.5,1.6887989008457571,1.0794376533562597,0.6923933519678889
204.0,1.6300787840031483,1.1427344528412207,0.6525108528146938
204.5,1.5661458445486036,1.204562908056186,0.6165269718361085
205.0,1.4978403229349764,1.2642000876924875,0.5842541743538436
205.5,1.426029460882016,1.3209159054108275,0.5554784579331162
206.0,1.351589374313198,1.3739876700528644,0.5299669419205177
206.5,1.2753875931576906,1.4227151915737422,0.5074748382088937
207.0,1.1982667415734414,1.4664360080822745,0.48775169760570675
207.5,1.121029768281274,1.5045402751243766,0.47054686465516876
208.0,1.0444270605774315,1.5364848516625125,0.45561410911840805
208.5,0.9691456912237877,1.5618061291082843,0.44271543355123466
209.0,0.8958009589659512,1.580131180375973,0.4316240828746263
209.5,0.8249302949896528,1.591186854422619,0.4221268031678773
210.0,0.7569895230001457,1.5948065063845145,0.41402541307464563
210.5,0.6923513831384968,1.5909341316215837,0.4071377623883172
211.0,0.631306162369769,1.5796257604278032,0.4012981589601979
211.5,0.574064218330883,1.561048064993117,0.3963573475799832
212.0,0.520760141206188,1.5354742271998976,0.3921821235328153
212.5,0.47145826955829817,1.5032772106767476,0.38865465980643027
213.0,0.42615926103044566,1.4649206690044796,0.3856716210752594
213.5,0.3848074166799112,1.4209478002099645,0.3831431302664764
214.0,0.34729846710602985,1.3719685223824258,0.3809916453013999
214.5,0.31348754781021054,1.31864539381625,0.3791507950168933
215.0,0.2831971184138291,1.2616787317861022,0.377564214734375
215.5,0.2562246133734774,1.2017913960772417,0.37618441380003426
216.0,0.232349648571942,1.1397136968479744,0.3749716999237983
216.5,0.2113406466251574,1.0761688623134888,0.3738931784707529
217.0,0.19296078211453746,1.0118594619420258,0.37292183910908233
217.5,0.17697318466814255,0.9474551278533563,0.3720357374333359
218.0,0.16314537160737153,0.8835818539238393,0.37121727535034976
218.5,0.1512529117999628,0.8208130820723778,0.3704525810872189
219.0,0.14108234778405343,0.7596627117941738,0.36973098757671624
219.5,0.13243342382046142,0.7005800956256304,0.36904460659570104
220.0,0.12512068322755787,0.6439470130241824,0.3683879952639894
220.5,0.11897450931739957,0.5900765509000295,0.3677579112360817
221.0,0.11384169082379325,0.5392137630033936,0.3671531530153609
221.5,0.10958559536171632,0.4915379342247604,0.3665744821704634
222.0,0.10608603373198733,0.44716624065417077,0.3660246247203719
222.5,0.10323889436955035,0.40615857239029174,0.36550834946675415
223.0,0.10095562150931459,0.3685232734208034,0.36503262148271454
223.5,0.09916260325704584,0.33422355071690335,0.3646068292156213
224.0,0.09780052719408112,0.30318431186366773,0.36424308363353636
224.5,0.09682375183167913,0.2752992056192246,0.3639565874528975
225.0,0.09619973250334993,0.25043766107369103,0.3637660716515627
225.5,0.09590853040350683,0.22845174677108215,0.36369429512999507
226.0,0.09594242363923437,0.20918269947146684,0.36376860148346
226.5,0.09630562949053018,0.19246700146977613,0.36402152435867563
227.0,0.09701413766066153,0.17814191403098642,0.3644914297835072
227.5,0.09809564520331192,0.16605040126587453,0.36522318020302313
228.0,0.09958957508969768,0.15604540265468045,0.36626880079126095
228.5,0.1015471520889964,0.14799343272923673,0.36768812403952444
229.0,0.10403150186682515,0.14177750275791381,0.36954938380004276
229.5,0.10711773208508973,0.13729937155053074,0.3719297250894334
